epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,5757.28,0.71659,1.5952,1.06123,0.80375,0.64071,0.76111,0.63925,0.71689,1.37264,1.06302,0.000484341,0.000484341,0.000484341
6,6962.86,0.69583,1.40256,1.04674,0.7334,0.72027,0.78347,0.64955,0.70534,1.16298,1.04508,0.000473926,0.000473926,0.000473926
7,8201.27,0.6778,1.28863,1.03206,0.86754,0.72804,0.83731,0.69749,0.6756,0.97091,1.0304,0.000463511,0.000463511,0.000463511
8,9389.47,0.66838,1.21754,1.0307,0.82023,0.71994,0.81529,0.69037,0.65084,0.9695,1.01331,0.000453096,0.000453096,0.000453096
9,10524,0.65971,1.1219,1.02,0.89623,0.78913,0.86666,0.73621,0.65162,0.80088,1.00505,0.000442682,0.000442682,0.000442682
10,11659.1,0.65135,1.06453,1.01957,0.9138,0.79637,0.89024,0.74892,0.64865,0.74106,1.00424,0.000432267,0.000432267,0.000432267
11,12803.4,0.65134,0.97453,1.01657,0.90688,0.78529,0.88188,0.74643,0.63073,0.70681,1.0002,0.000421852,0.000421852,0.000421852
12,13946.7,0.63784,0.95865,1.01563,0.88973,0.79995,0.8852,0.74029,0.65653,0.69388,1.0155,0.000411437,0.000411437,0.000411437
13,15090,0.62328,0.92678,1.0092,0.91416,0.8107,0.89909,0.76141,0.64008,0.65494,0.99503,0.000401022,0.000401022,0.000401022
14,16235.3,0.62703,0.91525,1.00452,0.93256,0.8271,0.91726,0.78131,0.61173,0.59843,0.97663,0.000390608,0.000390608,0.000390608
15,17382,0.61804,0.8777,1.00095,0.90827,0.82472,0.9074,0.77007,0.61875,0.61104,0.97949,0.000380193,0.000380193,0.000380193
16,18527.3,0.61319,0.85514,0.99079,0.91509,0.8408,0.91185,0.77893,0.62377,0.57647,0.97969,0.000369778,0.000369778,0.000369778
17,19673,0.60882,0.81294,0.99303,0.94773,0.83584,0.92203,0.78348,0.62195,0.54237,0.98394,0.000359363,0.000359363,0.000359363
18,20819.7,0.60484,0.81724,0.99811,0.93548,0.84662,0.92869,0.78396,0.61561,0.52843,0.97731,0.000348948,0.000348948,0.000348948
19,21968.9,0.58817,0.79226,0.98892,0.94918,0.84177,0.93279,0.78791,0.61063,0.51955,0.96805,0.000338534,0.000338534,0.000338534
20,23121.3,0.58613,0.76383,0.98699,0.95777,0.8474,0.93702,0.79536,0.60864,0.4915,0.97347,0.000328119,0.000328119,0.000328119
21,24305.9,0.58825,0.75642,0.98161,0.91679,0.85914,0.93095,0.79239,0.61432,0.49885,0.97398,0.000317704,0.000317704,0.000317704
22,25462.1,0.58282,0.73124,0.98094,0.93171,0.86767,0.93653,0.79402,0.59179,0.47094,0.963,0.000307289,0.000307289,0.000307289
23,26604,0.58258,0.71558,0.98228,0.93932,0.86089,0.93442,0.79891,0.60734,0.47812,0.96416,0.000296874,0.000296874,0.000296874
24,27750.3,0.57621,0.70804,0.98202,0.96118,0.86983,0.94505,0.80601,0.59263,0.44878,0.95705,0.00028646,0.00028646,0.00028646
25,28925.4,0.57129,0.70177,0.9728,0.94176,0.88177,0.94805,0.80979,0.58601,0.44533,0.9553,0.000276045,0.000276045,0.000276045
26,30074.1,0.56979,0.68295,0.97273,0.94055,0.88413,0.94787,0.80617,0.58935,0.43162,0.95339,0.00026563,0.00026563,0.00026563
27,31274.4,0.55946,0.67248,0.97158,0.95273,0.87346,0.95085,0.8105,0.59807,0.4319,0.95939,0.000255215,0.000255215,0.000255215
1,2166.05,0.84309,4.03273,1.20391,0.27847,0.37458,0.3006,0.24119,0.75654,3.2668,1.10348,0.00017454,0.00017454,0.00017454
2,5248.88,0.75494,2.92964,1.08012,0.44201,0.58103,0.50287,0.41653,0.75284,2.54803,1.11046,0.000315236,0.000315236,0.000315236
3,7492.91,0.73486,2.30869,1.06621,0.56429,0.58843,0.60938,0.51482,0.73244,2.23493,1.07416,0.000421216,0.000421216,0.000421216
4,8729.45,0.69662,1.75719,1.03728,0.78739,0.66586,0.76928,0.64303,0.70664,1.52586,1.05733,0.000369778,0.000369778,0.000369778
5,9995.79,0.66221,1.40085,1.012,0.85802,0.76615,0.84319,0.71558,0.66899,1.18345,1.02002,0.000317704,0.000317704,0.000317704
6,11277.1,0.63948,1.16135,0.99897,0.90194,0.77675,0.86947,0.7352,0.64739,0.99604,1.00018,0.00026563,0.00026563,0.00026563
7,12483.5,0.61345,0.98386,0.97304,0.91573,0.80457,0.88983,0.75471,0.6298,0.86962,0.99296,0.000213556,0.000213556,0.000213556
8,13686.2,0.59221,0.88615,0.96231,0.93329,0.80999,0.9048,0.7696,0.61874,0.80664,0.98273,0.000161482,0.000161482,0.000161482
9,14889.8,0.57318,0.79504,0.95401,0.93896,0.81735,0.90584,0.77898,0.6022,0.74311,0.97287,0.000109408,0.000109408,0.000109408
10,16069.9,0.5579,0.7503,0.94035,0.94054,0.83275,0.9196,0.79091,0.58894,0.69048,0.96407,5.7334e-05,5.7334e-05,5.7334e-05
